,school,sos,school-format,season
98,Fresno State,3.75,fresno-state,2014
99,Furman,-7.40,furman,2014
100,Gardner-Webb,-6.90,gardner-webb,2014
101,George Mason,4.58,george-mason,2014
102,George Washington NCAA,4.42,george-washington,2014
103,Georgetown,8.27,georgetown,2014
104,Georgia Southern,-8.60,georgia-southern,2014
105,Georgia State,-2.56,georgia-state,2014
106,Georgia Tech,5.24,georgia-tech,2014
107,Georgia,5.78,georgia,2014
108,Gonzaga NCAA,5.36,gonzaga,2014
109,Grambling,-9.05,grambling,2014
110,Grand Canyon,-3.51,grand-canyon,2014
111,Green Bay,0.11,green-bay,2014
112,Hampton,-7.91,hampton,2014
113,Hartford,-6.18,hartford,2014
114,Harvard NCAA,-0.47,harvard,2014
115,Hawaii,-1.68,hawaii,2014
116,High Point,-5.23,high-point,2014
117,Hofstra,-1.89,hofstra,2014
118,Holy Cross,-3.28,holy-cross,2014
119,Houston Baptist,-5.39,houston-baptist,2014
120,Houston,4.62,houston,2014
121,Howard,-5.22,howard,2014
122,Idaho State,-4.72,idaho-state,2014
123,Idaho,-3.72,idaho,2014
124,Illinois-Chicago,0.63,illinois-chicago,2014
125,Illinois State,1.77,illinois-state,2014
126,Illinois,8.28,illinois,2014
127,Incarnate Word,-10.74,incarnate-word,2014
128,Indiana State,1.19,indiana-state,2014
129,Indiana,6.64,indiana,2014
130,Iona,-0.10,iona,2014
131,Iowa State NCAA,9.88,iowa-state,2014
132,Iowa NCAA,7.43,iowa,2014
133,IPFW,-3.87,ipfw,2014
134,IUPUI,-1.36,iupui,2014
135,Jackson State,-8.72,jackson-state,2014
136,Jacksonville State,-5.14,jacksonville-state,2014
137,Jacksonville,-4.86,jacksonville,2014
138,James Madison,-2.20,james-madison,2014
139,Kansas State NCAA,8.47,kansas-state,2014
140,Kansas NCAA,11.40,kansas,2014
141,Kennesaw State,-4.05,kennesaw-state,2014
142,Kent State,-1.94,kent-state,2014
143,Kentucky NCAA,9.90,kentucky,2014
144,La Salle,4.75,la-salle,2014
145,Lafayette,-3.38,lafayette,2014
146,Lamar,-6.04,lamar,2014
147,Lehigh,-3.83,lehigh,2014
148,Liberty,-7.47,liberty,2014
149,Lipscomb,-5.13,lipscomb,2014
150,Long Beach State,2.71,long-beach-state,2014
151,Long Island University,-5.55,long-island-university,2014
152,Longwood,-5.56,longwood,2014
153,Louisiana NCAA,-0.28,louisiana-lafayette,2014
154,Louisiana-Monroe,0.02,louisiana-monroe,2014
155,Louisiana State,6.61,louisiana-state,2014
156,Louisiana Tech,-1.20,louisiana-tech,2014
157,Louisville NCAA,4.80,louisville,2014
158,Loyola (IL),-1.14,loyola-il,2014
159,Loyola Marymount,4.03,loyola-marymount,2014
160,Loyola (MD),-3.23,loyola-md,2014
161,Maine,-4.72,maine,2014
162,Manhattan NCAA,-0.90,manhattan,2014
163,Marist,-1.27,marist,2014
164,Marquette,6.61,marquette,2014
165,Marshall,-1.32,marshall,2014
166,Maryland-Baltimore County,-6.55,maryland-baltimore-county,2014
167,Maryland-Eastern Shore,-6.61,maryland-eastern-shore,2014
168,Maryland,8.08,maryland,2014
169,Massachusetts-Lowell,-4.53,massachusetts-lowell,2014
170,Massachusetts NCAA,6.00,massachusetts,2014
171,McNeese State,-4.01,mcneese-state,2014
172,Memphis NCAA,7.14,memphis,2014
173,Mercer NCAA,-3.42,mercer,2014
174,Miami (FL),5.63,miami-fl,2014
175,Miami (OH),0.13,miami-oh,2014
176,Michigan State NCAA,9.38,michigan-state,2014
177,Michigan NCAA,9.65,michigan,2014
178,Middle Tennessee,-0.78,middle-tennessee,2014
179,Milwaukee NCAA,-0.44,milwaukee,2014
180,Minnesota,8.34,minnesota,2014
181,Mississippi State,2.75,mississippi-state,2014
182,Mississippi Valley State,-8.35,mississippi-valley-state,2014
183,Mississippi,5.36,mississippi,2014
184,Missouri-Kansas City,-1.93,missouri-kansas-city,2014
185,Missouri State,1.22,missouri-state,2014
186,Missouri,6.86,missouri,2014
