,school,sos,school-format,season
334,Western Illinois,-5.42,western-illinois,2013
335,Western Kentucky NCAA,-1.14,western-kentucky,2013
336,Western Michigan,-1.43,western-michigan,2013
337,Wichita State NCAA,6.09,wichita-state,2013
338,William & Mary,-3.45,william-mary,2013
339,Winthrop,-4.43,winthrop,2013
340,Wisconsin NCAA,9.73,wisconsin,2013
341,Wofford,-4.65,wofford,2013
342,Wright State,-1.15,wright-state,2013
343,Wyoming,4.61,wyoming,2013
344,Xavier,4.96,xavier,2013
345,Yale,-0.81,yale,2013
346,Youngstown State,-0.81,youngstown-state,2013
