,School,SOS,School_format
259,Samford-Bulldogs,-5.46,samford-bulldogs
260,San-Diego-State,3.34,san-diego-state
261,San-Diego,0.41,san-diego
262,San-Francisco,0.59,san-francisco
263,San-Jose-State,0.76,san-jose-state
264,Santa-Clara,0.56,santa-clara
265,Savannah-State,-5.11,savannah-state
266,Seattle,-1.08,seattle
267,Seton-Hall,3.42,seton-hall
268,Siena,-3.36,siena
269,South-Alabama,-1.61,south-alabama
270,South-Carolina,3.31,south-carolina
271,South-Carolina-State,-10.6,south-carolina-state
272,South-Carolina-Upstate,-4.15,south-carolina-upstate
273,South-Dakota,-3.25,south-dakota
274,South-Dakota-State,-2.33,south-dakota-state
275,South-Florida,3.04,south-florida
276,Southeast-Missouri-State,-4.74,southeast-missouri-state
277,Southeastern-Louisiana,-6.35,southeastern-louisiana
278,Southern-California,6.21,southern-california
279,Southern-Illinois,2.19,southern-illinois
280,Southern-Illinois-Edwardsville,-4.09,southern-illinois-edwardsville
281,Southern,-10.08,southern
282,Southern-Methodist,1.77,southern-methodist
283,Southern-Mississippi,1.86,southern-mississippi
284,Southern-Utah,-3.61,southern-utah
285,St.-Bonaventure,1.53,st-bonaventure
286,St.-Francis-(NY),-5.56,st-francis-ny
287,St.-John's-(NY),4.98,st-johns-ny
288,Stanford,6.1,stanford
289,Stephen-F.-Austin,-6.69,stephen-f-austin
290,Stetson,-4.52,stetson
291,Stony-Brook,-5.43,stony-brook
292,Syracuse,3.76,syracuse
293,Temple,2.51,temple
294,Tennessee-State,-4.69,tennessee-state
295,Tennessee-Tech,-3.64,tennessee-tech
296,Tennessee,5.07,tennessee
297,Tennessee-Martin,-4.16,tennessee-martin
298,Texas-A&M,2.34,texas-am
299,Texas-A&M-Corpus-Christi,-4.53,texas-am-corpus-christi
300,Texas-Christian,1.74,texas-christian
301,Texas,3.46,texas
302,Texas-Southern,-8.5,texas-southern
303,Texas-State,-5.71,texas-state
304,Texas-Tech,2.4,texas-tech
305,Texas-Arlington,-4.71,texas-arlington
306,Texas-El-Paso,0.77,texas-el-paso
307,Texas-Rio-Grande-Valley,-3.15,texas-rio-grande-valley
308,Texas-San-Antonio,-4.74,texas-san-antonio
309,Toledo,-0.26,toledo
310,Towson,-4.37,towson
311,Troy,-5.33,troy
312,Tulane,1.13,tulane
313,Tulsa,3.19,tulsa
314,UC-Davis,-2.58,uc-davis
315,UC-Irvine,0.36,uc-irvine
316,UC-Riverside,-1.85,uc-riverside
317,UC-Santa-Barbara,0.18,uc-santa-barbara
318,UCLA,6.9,ucla
319,University-of-California,6.03,university-of-california
320,Utah-State,0.88,utah-state
321,Utah,3.55,utah
322,Utah-Valley,-5.48,utah-valley
323,Valparaiso,-1.63,valparaiso
324,Vanderbilt,4.88,vanderbilt
325,Vermont,-7.23,vermont
326,Villanova,5.57,villanova
327,Virginia,5.44,virginia
328,Virginia-Commonwealth,0.56,virginia-commonwealth
329,Virginia-Military-Institute,-4.89,virginia-military-institute
330,Virginia-Tech,1.36,virginia-tech
331,Wagner,-7.43,wagner
332,Wake-Forest,6.14,wake-forest
333,Washington,5.98,washington
334,Washington-State,4.89,washington-state
335,Weber-State,-2.55,weber-state
336,West-Virginia,2.41,west-virginia
337,Western-Carolina,-3.94,western-carolina
338,Western-Illinois,-3.64,western-illinois
339,Western-Kentucky,-0.18,western-kentucky
340,Western-Michigan,-0.14,western-michigan
341,Wichita-State,3.2,wichita-state
342,William-&-Mary,-2.61,william-mary
343,Winthrop,-6.88,winthrop
344,Wisconsin,7.67,wisconsin
345,Wofford,-2.92,wofford
346,Wright-State,-2.13,wright-state
347,Wyoming,2.72,wyoming
348,Xavier,3.58,xavier
349,Yale,-4.69,yale
350,Youngstown-State,-3.2,youngstown-state
