,school,sos,school-format,season
74,Denver,-2.54,denver,2018
75,DePaul,8.45,depaul,2018
76,Detroit Mercy,-2.07,detroit-mercy,2018
77,Drake,0.59,drake,2018
78,Drexel,-2.48,drexel,2018
79,Duke NCAA,9.71,duke,2018
80,Duquesne,-3.33,duquesne,2018
81,East Carolina,-0.22,east-carolina,2018
82,East Tennessee State,-4.09,east-tennessee-state,2018
83,Eastern Illinois,-3.40,eastern-illinois,2018
84,Eastern Kentucky,-3.68,eastern-kentucky,2018
85,Eastern Michigan,-2.81,eastern-michigan,2018
86,Eastern Washington,-1.55,eastern-washington,2018
87,Elon,-1.69,elon,2018
88,Evansville,1.35,evansville,2018
89,Fairfield,-3.68,fairfield,2018
90,Fairleigh Dickinson,-5.66,fairleigh-dickinson,2018
91,Florida A&M,-8.34,florida-am,2018
92,Florida Atlantic,-0.14,florida-atlantic,2018
93,Florida Gulf Coast,-5.44,florida-gulf-coast,2018
94,Florida International,-1.99,florida-international,2018
95,Florida State NCAA,8.50,florida-state,2018
96,Florida NCAA,10.08,florida,2018
97,Fordham,1.26,fordham,2018
98,Fresno State,1.84,fresno-state,2018
99,Furman,-3.64,furman,2018
100,Gardner-Webb,-3.79,gardner-webb,2018
101,George Mason,0.83,george-mason,2018
102,George Washington,2.13,george-washington,2018
103,Georgetown,5.29,georgetown,2018
104,Georgia Southern,-3.28,georgia-southern,2018
105,Georgia State NCAA,-2.78,georgia-state,2018
106,Georgia Tech,7.47,georgia-tech,2018
107,Georgia,8.87,georgia,2018
108,Gonzaga NCAA,2.59,gonzaga,2018
109,Grambling,-10.30,grambling,2018
110,Grand Canyon,-4.81,grand-canyon,2018
111,Green Bay,-4.08,green-bay,2018
112,Hampton,-9.57,hampton,2018
113,Hartford,-5.26,hartford,2018
114,Harvard,-1.70,harvard,2018
115,Hawaii,-2.50,hawaii,2018
116,High Point,-6.37,high-point,2018
117,Hofstra,-1.60,hofstra,2018
118,Holy Cross,-5.83,holy-cross,2018
119,Houston Baptist,-3.96,houston-baptist,2018
120,Houston NCAA,4.16,houston,2018
121,Howard,-9.75,howard,2018
122,Idaho State,-3.70,idaho-state,2018
123,Idaho,-3.94,idaho,2018
124,Illinois-Chicago,-4.21,illinois-chicago,2018
125,Illinois State,3.67,illinois-state,2018
126,Illinois,7.53,illinois,2018
127,Incarnate Word,-5.04,incarnate-word,2018
128,Indiana State,2.43,indiana-state,2018
129,Indiana,8.25,indiana,2018
130,Iona NCAA,-2.19,iona,2018
131,Iowa State,9.49,iowa-state,2018
132,Iowa,7.13,iowa,2018
133,IPFW,-3.24,ipfw,2018
134,IUPUI,-3.53,iupui,2018
