,school,sos,year
906,nicholls-state,-5.23,2018
907,njit,-4.56,2018
908,norfolk-state,-6.73,2018
909,north-carolina-asheville,-3.25,2018
910,north-carolina-at,-8.49,2018
911,north-carolina-central,-10.03,2018
912,north-carolina-greensboro,-3.23,2018
913,north-carolina-state,9.04,2018
914,north-carolina-wilmington,0.35,2018
915,north-carolina,10.69,2018
916,north-dakota-state,-2.99,2018
917,north-dakota,-4.91,2018
918,north-florida,-3.92,2018
919,north-texas,-3.23,2018
920,northeastern,1.35,2018
921,northern-arizona,-2.83,2018
922,northern-colorado,-4.01,2018
923,northern-illinois,-1.20,2018
924,northern-iowa,4.44,2018
925,northern-kentucky,-0.69,2018
926,northwestern-state,-5.66,2018
927,northwestern,4.12,2018
928,notre-dame,9.57,2018
929,oakland,-1.61,2018
930,ohio-state,7.08,2018
931,ohio,-1.18,2018
932,oklahoma-state,8.81,2018
933,oklahoma,11.14,2018
934,old-dominion,-2.31,2018
935,oral-roberts,0.59,2018
936,oregon-state,9.26,2018
937,oregon,8.64,2018
938,pacific,2.35,2018
939,penn-state,6.95,2018
940,pennsylvania,-2.15,2018
941,pepperdine,1.68,2018
942,pittsburgh,8.75,2018
943,portland-state,-5.94,2018
944,portland,0.56,2018
945,prairie-view,-6.82,2018
946,presbyterian,-4.98,2018
947,princeton,-1.72,2018
948,providence,8.46,2018
949,purdue,7.46,2018
950,quinnipiac,-4.98,2018
951,radford,-3.45,2018
952,rhode-island,3.29,2018
953,rice,-2.70,2018
954,richmond,4.56,2018
955,rider,-3.60,2018
956,robert-morris,-7.75,2018
957,rutgers,6.43,2018
958,sacramento-state,-5.32,2018
959,sacred-heart,-9.05,2018
960,saint-francis-pa,-9.06,2018
961,saint-josephs,4.93,2018
962,saint-louis,3.49,2018
963,saint-marys-ca,1.24,2018
964,saint-peters,-4.30,2018
965,sam-houston-state,-6.50,2018
966,samford,-4.49,2018
967,san-diego-state,4.33,2018
968,san-diego,1.42,2018
969,san-francisco,-0.68,2018
970,san-jose-state,1.35,2018
971,santa-clara,1.86,2018
972,savannah-state,-8.59,2018
973,seattle,-5.02,2018
974,seton-hall,8.28,2018
975,siena,-3.19,2018
976,south-alabama,-2.02,2018
977,south-carolina-state,-8.24,2018
978,south-carolina-upstate,-4.39,2018
979,south-carolina,5.83,2018
980,south-dakota-state,-1.22,2018
981,south-dakota,-0.88,2018
982,south-florida,5.24,2018
983,southeast-missouri-state,-3.43,2018
984,southeastern-louisiana,-7.55,2018
985,southern-california,7.64,2018
986,southern-illinois-edwardsville,-2.60,2018
987,southern-illinois,-1.30,2018
988,southern-methodist,4.56,2018
989,southern-mississippi,-3.66,2018
990,southern-utah,-4.22,2018
991,southern,-9.37,2018
992,st-bonaventure,1.87,2018
993,st-francis-ny,-9.24,2018
994,st-johns-ny,7.94,2018
995,stanford,10.41,2018
996,stephen-f-austin,-5.47,2018
997,stetson,-4.35,2018
998,stony-brook,-5.28,2018
999,syracuse,9.75,2018
1000,temple,6.57,2018
1001,tennessee-martin,-4.72,2018
1002,tennessee-state,-5.30,2018
1003,tennessee-tech,-3.66,2018
1004,tennessee,7.86,2018
1005,texas-am-corpus-christi,-5.44,2018
1006,texas-am,8.45,2018
1007,texas-arlington,-3.42,2018
1008,texas-christian,8.62,2018
1009,texas-el-paso,-4.93,2018
1010,texas-rio-grande-valley,-4.25,2018
1011,texas-san-antonio,-3.36,2018
1012,texas-southern,-6.94,2018
1013,texas-state,-4.29,2018
1014,texas-tech,10.25,2018
1015,texas,11.71,2018
1016,toledo,-2.36,2018
1017,towson,-1.57,2018
1018,troy,-2.07,2018
1019,tulane,3.79,2018
1020,tulsa,5.76,2018
1021,ucla,9.69,2018
1022,utah-state,2.06,2018
1023,utah-valley,-3.58,2018
1024,utah,8.79,2018
1025,valparaiso,0.02,2018
1026,vanderbilt,8.68,2018
1027,vermont,-4.73,2018
1028,villanova,9.71,2018
1029,virginia-commonwealth,4.35,2018
1030,virginia-military-institute,-3.15,2018
1031,virginia-tech,7.53,2018
1032,virginia,11.12,2018
1033,wagner,-9.52,2018
1034,wake-forest,10.53,2018
1035,washington-state,7.97,2018
1036,washington,8.12,2018
1037,weber-state,-5.13,2018
1038,west-virginia,9.78,2018
1039,western-carolina,-1.53,2018
1040,western-illinois,-1.32,2018
1041,western-kentucky,-0.89,2018
1042,western-michigan,0.06,2018
1043,wichita-state,4.24,2018
1044,william-mary,1.30,2018
1045,winthrop,-5.70,2018
1046,wisconsin,9.40,2018
1047,wofford,-2.35,2018
1048,wright-state,-1.76,2018
1049,wyoming,2.19,2018
1050,xavier,8.43,2018
1051,yale,-1.03,2018
1052,youngstown-state,-0.86,2018
1053,abilene-christian,-7.10,2018
1054,air-force,1.00,2018
1055,akron,-1.21,2018
1056,alabama-am,-11.09,2018
1057,alabama-birmingham,-1.83,2018
1058,alabama-state,-10.75,2018
1059,alabama,7.47,2018
1060,albany-ny,-4.69,2018
1061,alcorn-state,-10.95,2018
1062,american,-3.50,2018
1063,appalachian-state,-1.60,2018
1064,arizona-state,7.11,2018
1065,arizona,7.63,2018
1066,arkansas-little-rock,-3.80,2018
1067,arkansas-pine-bluff,-10.28,2018
1068,arkansas-state,-2.10,2018
1069,arkansas,8.60,2018
1070,army,-4.10,2018
1071,auburn,7.33,2018
1072,austin-peay,-2.32,2018
1073,ball-state,-3.57,2018
1074,baylor,11.87,2018
1075,belmont,-1.69,2018
1076,bethune-cookman,-11.21,2018
1077,binghamton,-5.79,2018
1078,boise-state,2.72,2018
1079,boston-college,8.08,2018
1080,boston-university,-3.66,2018
1081,bowling-green-state,-2.00,2018
1082,bradley,2.94,2018
1083,brigham-young,1.87,2018
1084,brown,-4.08,2018
1085,bryant,-5.43,2018
1086,bucknell,-2.48,2018
1087,buffalo,-1.01,2018
1088,butler,10.23,2018
1089,cal-poly,-4.22,2018
1090,cal-state-bakersfield,-1.94,2018
1091,cal-state-fullerton,-6.85,2018
1092,cal-state-northridge,-4.13,2018
1093,california-davis,-4.68,2018
1094,california-irvine,-2.70,2018
1095,california-riverside,-3.87,2018
1096,california-santa-barbara,-2.00,2018
1097,university-of-california,6.34,2018
1098,campbell,-7.59,2018
1099,canisius,-3.50,2018
1100,central-arkansas,-3.76,2018
1101,central-connecticut-state,-7.68,2018
1102,central-florida,3.69,2018
1103,central-michigan,-2.63,2018
1104,charleston-southern,-6.21,2018
1105,charlotte,-0.93,2018
1106,chattanooga,-2.08,2018
1107,chicago-state,-0.19,2018
1108,cincinnati,5.49,2018
1109,citadel,-2.93,2018
1110,clemson,9.98,2018
1111,cleveland-state,-1.53,2018
1112,coastal-carolina,-1.48,2018
1113,colgate,-3.60,2018
1114,college-of-charleston,-0.19,2018
1115,colorado-state,2.17,2018
1116,colorado,6.00,2018
1117,columbia,-3.13,2018
1118,connecticut,6.61,2018
1119,coppin-state,-8.01,2018
1120,cornell,-1.55,2018
1121,creighton,8.95,2018
1122,dartmouth,-3.45,2018
1123,davidson,4.26,2018
1124,dayton,4.27,2018
1125,delaware-state,-9.37,2018
1126,delaware,-1.42,2018
1127,denver,-4.19,2018
1128,depaul,7.78,2018
1129,detroit-mercy,-1.62,2018
1130,drake,1.91,2018
1131,drexel,-2.56,2018
1132,duke,10.91,2018
1133,duquesne,0.69,2018
1134,east-carolina,1.33,2018
1135,east-tennessee-state,-2.11,2018
1136,eastern-illinois,-5.05,2018
1137,eastern-kentucky,-2.44,2018
1138,eastern-michigan,0.16,2018
1139,eastern-washington,-4.43,2018
1140,elon,-1.39,2018
1141,evansville,2.42,2018
1142,fairfield,-3.85,2018
1143,fairleigh-dickinson,-5.31,2018
1144,florida-am,-11.85,2018
1145,florida-atlantic,-1.98,2018
1146,florida-gulf-coast,-3.42,2018
1147,florida-international,-3.27,2018
1148,florida-state,8.87,2018
1149,florida,11.01,2018
1150,fordham,1.36,2018
1151,fresno-state,2.31,2018
1152,furman,-3.75,2018
1153,gardner-webb,-5.71,2018
1154,george-mason,1.28,2018
1155,george-washington,2.11,2018
1156,georgetown,9.31,2018
1157,georgia-southern,-2.83,2018
1158,georgia-state,-2.17,2018
1159,georgia-tech,8.21,2018
1160,georgia,10.28,2018
1161,gonzaga,4.13,2018
1162,grambling,-11.89,2018
1163,grand-canyon,-4.22,2018
1164,green-bay,-2.83,2018
1165,hampton,-9.92,2018
1166,hartford,-5.56,2018
1167,harvard,-2.24,2018
1168,hawaii,-4.92,2018
1169,high-point,-6.28,2018
1170,hofstra,-1.90,2018
1171,holy-cross,-3.51,2018
1172,houston-baptist,-4.44,2018
1173,houston,3.42,2018
1174,howard,-7.97,2018
1175,idaho-state,-3.37,2018
1176,idaho,-5.89,2018
1177,illinois-chicago,-3.63,2018
1178,illinois-state,2.71,2018
1179,illinois,9.25,2018
1180,incarnate-word,-5.62,2018
1181,indiana-state,3.18,2018
1182,indiana,8.16,2018
1183,iona,-2.47,2018
1184,iowa-state,11.94,2018
1185,iowa,7.54,2018
1186,ipfw,-3.19,2018
1187,iupui,-1.62,2018
1188,jackson-state,-11.55,2018
1189,jacksonville-state,-3.24,2018
1190,jacksonville,-8.45,2018
1191,james-madison,-1.83,2018
1192,kansas-state,10.48,2018
1193,kansas,12.23,2018
1194,kennesaw-state,-5.97,2018
1195,kent-state,-1.63,2018
1196,kentucky,10.49,2018
1197,la-salle,2.94,2018
1198,lafayette,-3.50,2018
1199,lamar,-7.93,2018
1200,lehigh,-3.30,2018
1201,liberty,-6.16,2018
1202,lipscomb,-4.45,2018
1203,long-beach-state,-0.60,2018
1204,long-island-university,-8.51,2018
1205,longwood,-6.16,2018
1206,louisiana,-3.28,2018
1207,louisiana-monroe,-2.56,2018
1208,louisiana-state,8.69,2018
1209,louisiana-tech,-4.35,2018
1210,louisville,11.15,2018
1211,loyola-il,1.02,2018
1212,loyola-marymount,1.60,2018
1213,loyola-md,-3.60,2018
1214,maine,-4.01,2018
1215,manhattan,-2.61,2018
1216,marist,-2.74,2018
1217,marquette,8.60,2018
1218,marshall,-1.05,2018
1219,maryland-baltimore-county,-5.87,2018
1220,maryland-eastern-shore,-7.61,2018
1221,maryland,8.29,2018
1222,massachusetts-lowell,-6.40,2018
1223,massachusetts,1.66,2018
1224,mcneese-state,-4.12,2018
1225,memphis,3.19,2018
1226,mercer,-0.92,2018
1227,miami-fl,9.57,2018
1228,miami-oh,-2.10,2018
1229,michigan-state,10.50,2018
1230,michigan,10.17,2018
1231,middle-tennessee,-0.48,2018
1232,milwaukee,-2.17,2018
1233,minnesota,8.82,2018
1234,mississippi-state,5.90,2018
1235,mississippi-valley-state,-7.11,2018
1236,mississippi,7.99,2018
1237,missouri-kansas-city,-1.06,2018
1238,missouri-state,1.18,2018
1239,missouri,6.73,2018
1240,monmouth,-2.62,2018
1241,montana-state,-5.88,2018
1242,montana,-4.02,2018
1243,morehead-state,-1.85,2018
1244,morgan-state,-11.20,2018
1245,mount-st-marys,-3.51,2018
1246,murray-state,-4.41,2018
1247,navy,-3.92,2018
1248,nebraska-omaha,-1.11,2018
1249,nebraska,10.74,2018
1250,nevada-las-vegas,2.59,2018
1251,nevada,2.03,2018
1252,new-hampshire,-4.46,2018
1253,new-mexico-state,-3.82,2018
1254,new-mexico,2.07,2018
1255,new-orleans,-5.34,2018
1256,niagara,-4.37,2018
1257,nicholls-state,-5.23,2018
1258,njit,-4.22,2018
1259,norfolk-state,-8.57,2018
1260,north-carolina-asheville,-5.61,2018
1261,north-carolina-at,-9.61,2018
1262,north-carolina-central,-12.12,2018
1263,north-carolina-greensboro,-2.63,2018
1264,north-carolina-state,8.09,2018
1265,north-carolina-wilmington,-0.55,2018
1266,north-carolina,11.76,2018
1267,north-dakota-state,-2.63,2018
1268,north-dakota,-5.45,2018
1269,north-florida,-1.65,2018
1270,north-texas,-3.32,2018
1271,northeastern,-0.91,2018
1272,northern-arizona,-5.95,2018
1273,northern-colorado,-4.20,2018
1274,northern-illinois,-2.05,2018
1275,northern-iowa,5.22,2018
1276,northern-kentucky,-2.84,2018
1277,northwestern-state,-6.07,2018
1278,northwestern,8.43,2018
1279,notre-dame,9.78,2018
1280,oakland,-3.00,2018
1281,ohio-state,7.28,2018
1282,ohio,-2.56,2018
1283,oklahoma-state,12.22,2018
1284,oklahoma,12.62,2018
1285,old-dominion,-1.35,2018
1286,oral-roberts,1.24,2018
1287,oregon-state,5.89,2018
1288,oregon,8.38,2018
1289,pacific,2.09,2018
1290,penn-state,8.90,2018
1291,pennsylvania,-1.50,2018
1292,pepperdine,1.87,2018
1293,pittsburgh,11.06,2018
1294,portland-state,-6.63,2018
1295,portland,2.32,2018
1296,prairie-view,-8.48,2018
1297,presbyterian,-5.95,2018
1298,princeton,-1.84,2018
1299,providence,7.84,2018
1300,purdue,8.79,2018
1301,quinnipiac,-3.22,2018
1302,radford,-4.58,2018
1303,rhode-island,4.62,2018
1304,rice,-4.16,2018
1305,richmond,3.28,2018
1306,rider,-5.28,2018
1307,robert-morris,-5.13,2018
1308,rutgers,6.22,2018
1309,sacramento-state,-5.58,2018
1310,sacred-heart,-7.52,2018
1311,saint-francis-pa,-7.65,2018
1312,saint-josephs,3.69,2018
1313,saint-louis,1.85,2018
1314,saint-marys-ca,2.19,2018
1315,saint-peters,-3.60,2018
1316,sam-houston-state,-6.35,2018
1317,samford,-3.70,2018
1318,san-diego-state,1.47,2018
1319,san-diego,0.92,2018
1320,san-francisco,0.42,2018
1321,san-jose-state,1.74,2018
1322,santa-clara,2.03,2018
1323,savannah-state,-8.44,2018
1324,seattle,-3.95,2018
1325,seton-hall,9.25,2018
1326,siena,-2.23,2018
1327,south-alabama,-2.90,2018
1328,south-carolina-state,-6.61,2018
1329,south-carolina-upstate,-5.23,2018
1330,south-carolina,10.16,2018
1331,south-dakota-state,-0.66,2018
1332,south-dakota,-2.08,2018
1333,south-florida,2.39,2018
1334,southeast-missouri-state,-4.28,2018
1335,southeastern-louisiana,-8.13,2018
1336,southern-california,6.40,2018
1337,southern-illinois-edwardsville,-3.29,2018
1338,southern-illinois,2.65,2018
1339,southern-methodist,4.45,2018
1340,southern-mississippi,-2.78,2018
1341,southern-utah,-5.39,2018
1342,southern,-11.68,2018
1343,st-bonaventure,1.48,2018
1344,st-francis-ny,-6.54,2018
1345,st-johns-ny,8.39,2018
1346,stanford,8.59,2018
1347,stephen-f-austin,-5.75,2018
1348,stetson,-5.45,2018
1349,stony-brook,-5.05,2018
1350,syracuse,8.47,2018
1351,temple,5.09,2018
1352,tennessee-martin,-4.34,2018
1353,tennessee-state,-2.96,2018
1354,tennessee-tech,-4.17,2018
1355,tennessee,10.18,2018
1356,texas-am-corpus-christi,-5.79,2018
1357,texas-am,7.97,2018
1358,texas-arlington,-0.87,2018
1359,texas-christian,10.95,2018
1360,texas-el-paso,-2.51,2018
1361,texas-rio-grande-valley,-3.68,2018
1362,texas-san-antonio,-3.03,2018
1363,texas-southern,-7.81,2018
1364,texas-state,-4.29,2018
1365,texas-tech,7.86,2018
1366,texas,12.75,2018
1367,toledo,-0.90,2018
1368,towson,-1.28,2018
1369,troy,-3.36,2018
1370,tulane,4.25,2018
1371,tulsa,5.29,2018
1372,ucla,6.39,2018
1373,utah-state,2.46,2018
1374,utah-valley,-2.44,2018
1375,utah,4.32,2018
1376,valparaiso,-1.59,2018
1377,vanderbilt,10.72,2018
1378,vermont,-3.27,2018
1379,villanova,9.28,2018
1380,virginia-commonwealth,3.77,2018
1381,virginia-military-institute,-1.80,2018
1382,virginia-tech,8.38,2018
1383,virginia,10.93,2018
1384,wagner,-7.89,2018
1385,wake-forest,9.80,2018
1386,washington-state,6.87,2018
1387,washington,6.82,2018
1388,weber-state,-5.13,2018
1389,west-virginia,9.67,2018
1390,western-carolina,-0.70,2018
1391,western-illinois,-2.38,2018
1392,western-kentucky,-2.89,2018
1393,western-michigan,-0.55,2018
1394,wichita-state,2.96,2018
1395,william-mary,-0.73,2018
1396,winthrop,-6.12,2018
1397,wisconsin,9.40,2018
1398,wofford,-1.08,2018
1399,wright-state,-2.42,2018
1400,wyoming,0.55,2018
1401,xavier,11.51,2018
1402,yale,-2.19,2018
1403,youngstown-state,-2.56,2018
1404,abilene-christian,-6.82,2018
1405,air-force,1.72,2018
1406,akron,-1.92,2018
1407,alabama-am,-8.04,2018
1408,alabama-birmingham,-0.65,2018
1409,alabama-state,-8.62,2018
1410,alabama,10.64,2018
1411,albany-ny,-5.41,2018
1412,alcorn-state,-8.60,2018
1413,american,-6.17,2018
1414,appalachian-state,-2.65,2018
1415,arizona-state,6.56,2018
1416,arizona,6.84,2018
1417,arkansas-little-rock,-2.21,2018
1418,arkansas-pine-bluff,-9.36,2018
1419,arkansas-state,-3.02,2018
1420,arkansas,9.85,2018
1421,army,-7.17,2018
1422,auburn,7.29,2018
1423,austin-peay,-2.49,2018
1424,ball-state,-1.99,2018
1425,baylor,9.17,2018
1426,belmont,-2.88,2018
1427,bethune-cookman,-12.48,2018
1428,binghamton,-6.36,2018
1429,boise-state,3.05,2018
1430,boston-college,7.20,2018
1431,boston-university,-5.84,2018
1432,bowling-green-state,-2.88,2018
1433,bradley,0.36,2018
1434,brigham-young,1.53,2018
1435,brown,-4.67,2018
1436,bryant,-5.43,2018
1437,bucknell,-3.46,2018
1438,buffalo,0.25,2018
1439,butler,10.55,2018
1440,cal-poly,-1.83,2018
1441,cal-state-bakersfield,-0.73,2018
1442,cal-state-fullerton,-1.02,2018
1443,cal-state-northridge,-3.55,2018
1444,california-davis,-1.84,2018
1445,california-irvine,-0.33,2018
1446,california-riverside,-1.53,2018
1447,california-santa-barbara,-3.36,2018
1448,university-of-california,6.06,2018
1449,campbell,-6.68,2018
1450,canisius,-4.80,2018
1451,central-arkansas,-5.97,2018
1452,central-connecticut-state,-7.59,2018
1453,central-florida,3.75,2018
1454,central-michigan,-3.24,2018
1455,charleston-southern,-6.15,2018
1456,charlotte,0.27,2018
1457,chattanooga,-4.05,2018
1458,chicago-state,1.17,2018
1459,cincinnati,3.53,2018
1460,citadel,-2.94,2018
1461,clemson,9.25,2018
1462,cleveland-state,-3.64,2018
1463,coastal-carolina,-2.40,2018
1464,colgate,-5.73,2018
1465,college-of-charleston,-3.29,2018
1466,colorado-state,3.79,2018
1467,colorado,7.00,2018
1468,columbia,-3.02,2018
1469,connecticut,6.05,2018
1470,coppin-state,-7.25,2018
1471,cornell,-3.24,2018
1472,creighton,8.10,2018
1473,dartmouth,-4.00,2018
1474,davidson,2.57,2018
1475,dayton,2.70,2018
1476,delaware-state,-9.32,2018
1477,delaware,-2.96,2018
1478,denver,-2.54,2018
1479,depaul,8.45,2018
1480,detroit-mercy,-2.07,2018
1481,drake,0.59,2018
1482,drexel,-2.48,2018
1483,duke,9.71,2018
1484,duquesne,-3.33,2018
1485,east-carolina,-0.22,2018
1486,east-tennessee-state,-4.09,2018
1487,eastern-illinois,-3.40,2018
1488,eastern-kentucky,-3.68,2018
1489,eastern-michigan,-2.81,2018
1490,eastern-washington,-1.55,2018
1491,elon,-1.69,2018
1492,evansville,1.35,2018
1493,fairfield,-3.68,2018
1494,fairleigh-dickinson,-5.66,2018
1495,florida-am,-8.34,2018
1496,florida-atlantic,-0.14,2018
1497,florida-gulf-coast,-5.44,2018
1498,florida-international,-1.99,2018
1499,florida-state,8.50,2018
1500,florida,10.08,2018
1501,fordham,1.26,2018
1502,fresno-state,1.84,2018
1503,furman,-3.64,2018
1504,gardner-webb,-3.79,2018
1505,george-mason,0.83,2018
1506,george-washington,2.13,2018
1507,georgetown,5.29,2018
1508,georgia-southern,-3.28,2018
1509,georgia-state,-2.78,2018
1510,georgia-tech,7.47,2018
1511,georgia,8.87,2018
1512,gonzaga,2.59,2018
1513,grambling,-10.30,2018
1514,grand-canyon,-4.81,2018
1515,green-bay,-4.08,2018
1516,hampton,-9.57,2018
1517,hartford,-5.26,2018
1518,harvard,-1.70,2018
1519,hawaii,-2.50,2018
1520,high-point,-6.37,2018
1521,hofstra,-1.60,2018
1522,holy-cross,-5.83,2018
1523,houston-baptist,-3.96,2018
1524,houston,4.16,2018
1525,howard,-9.75,2018
1526,idaho-state,-3.70,2018
1527,idaho,-3.94,2018
1528,illinois-chicago,-4.21,2018
1529,illinois-state,3.67,2018
1530,illinois,7.53,2018
1531,incarnate-word,-5.04,2018
1532,indiana-state,2.43,2018
1533,indiana,8.25,2018
1534,iona,-2.19,2018
1535,iowa-state,9.49,2018
1536,iowa,7.13,2018
1537,ipfw,-3.24,2018
1538,iupui,-3.53,2018
1539,jackson-state,-10.49,2018
1540,jacksonville-state,-4.87,2018
1541,jacksonville,-6.12,2018
1542,james-madison,-2.15,2018
1543,kansas-state,8.74,2018
1544,kansas,11.87,2018
1545,kennesaw-state,-4.31,2018
1546,kent-state,-1.75,2018
1547,kentucky,10.73,2018
1548,la-salle,2.54,2018
1549,lafayette,-6.04,2018
1550,lamar,-7.22,2018
1551,lehigh,-5.66,2018
1552,liberty,-6.23,2018
1553,lipscomb,-3.80,2018
1554,long-beach-state,0.89,2018
1555,long-island-university,-8.19,2018
1556,longwood,-4.31,2018
1557,louisiana,-2.54,2018
1558,louisiana-monroe,-3.31,2018
1559,louisiana-state,8.03,2018
1560,louisiana-tech,-0.12,2018
1561,louisville,9.08,2018
1562,loyola-il,1.81,2018
1563,loyola-marymount,1.09,2018
1564,loyola-md,-5.25,2018
1565,maine,-3.28,2018
1566,manhattan,-4.15,2018
1567,marist,-3.57,2018
1568,marquette,9.70,2018
1569,marshall,0.44,2018
1570,maryland-baltimore-county,-3.84,2018
1571,maryland-eastern-shore,-7.57,2018
1572,maryland,7.94,2018
1573,massachusetts-lowell,-5.78,2018
1574,massachusetts,1.10,2018
1575,mcneese-state,-6.10,2018
1576,memphis,2.16,2018
1577,mercer,-3.50,2018
1578,miami-fl,6.96,2018
1579,miami-oh,-1.15,2018
1580,michigan-state,7.10,2018
1581,michigan,9.41,2018
1582,middle-tennessee,2.83,2018
1583,milwaukee,-4.25,2018
1584,minnesota,6.91,2018
1585,mississippi-state,6.82,2018
1586,mississippi-valley-state,-8.13,2018
1587,mississippi,9.16,2018
1588,missouri-kansas-city,-1.02,2018
1589,missouri-state,0.45,2018
1590,missouri,9.19,2018
1591,monmouth,-1.24,2018
1592,montana-state,-3.53,2018
1593,montana,-2.25,2018
1594,morehead-state,-1.91,2018
1595,morgan-state,-11.97,2018
1596,mount-st-marys,-8.05,2018
1597,murray-state,-3.53,2018
1598,navy,-7.22,2018
1599,nebraska-omaha,0.33,2018
1600,nebraska,7.32,2018
1601,nevada-las-vegas,1.87,2018
1602,nevada,4.93,2018
1603,new-hampshire,-4.32,2018
1604,new-mexico-state,-1.10,2018
1605,new-mexico,3.30,2018
1606,new-orleans,-5.78,2018
1607,niagara,-4.21,2018
1608,nicholls-state,-5.86,2018
1609,njit,-5.53,2018
1610,norfolk-state,-10.18,2018
1611,north-carolina-asheville,-3.57,2018
1612,north-carolina-at,-11.20,2018
1613,north-carolina-central,-12.31,2018
1614,north-carolina-greensboro,-3.87,2018
1615,north-carolina-state,6.70,2018
1616,north-carolina-wilmington,-1.15,2018
1617,north-carolina,11.78,2018
1618,north-dakota-state,-1.58,2018
1619,north-dakota,-0.20,2018
1620,north-florida,-1.74,2018
1621,north-texas,-0.40,2018
1622,northeastern,-1.61,2018
1623,northern-arizona,-1.03,2018
1624,northern-colorado,-2.27,2018
1625,northern-illinois,-1.71,2018
1626,northern-iowa,3.87,2018
1627,northern-kentucky,-4.07,2018
1628,northwestern-state,-4.18,2018
1629,northwestern,8.37,2018
1630,notre-dame,7.94,2018
1631,oakland,-3.76,2018
1632,ohio-state,9.03,2018
1633,ohio,-1.65,2018
1634,oklahoma-state,9.12,2018
1635,oklahoma,10.56,2018
1636,old-dominion,-1.27,2018
1637,oral-roberts,1.05,2018
1638,oregon-state,4.57,2018
1639,oregon,4.84,2018
1640,pacific,1.80,2018
1641,penn-state,7.79,2018
1642,pennsylvania,-3.17,2018
1643,pepperdine,1.82,2018
1644,pittsburgh,8.47,2018
1645,portland-state,-1.05,2018
1646,portland,2.43,2018
1647,prairie-view,-7.71,2018
1648,presbyterian,-5.53,2018
1649,princeton,-1.97,2018
1650,providence,10.23,2018
1651,purdue,8.74,2018
1652,quinnipiac,-4.44,2018
1653,radford,-4.08,2018
1654,rhode-island,4.61,2018
1655,rice,-0.04,2018
1656,richmond,3.61,2018
1657,rider,-2.62,2018
1658,robert-morris,-6.11,2018
1659,rutgers,6.83,2018
1660,sacramento-state,-0.74,2018
1661,sacred-heart,-6.98,2018
1662,saint-francis-pa,-6.71,2018
1663,saint-josephs,1.90,2018
1664,saint-louis,2.92,2018
1665,saint-marys-ca,0.33,2018
1666,saint-peters,-4.36,2018
1667,sam-houston-state,-4.80,2018
1668,samford,-3.37,2018
1669,san-diego-state,3.91,2018
1670,san-diego,0.49,2018
1671,san-francisco,1.63,2018
1672,san-jose-state,2.91,2018
1673,santa-clara,0.61,2018
1674,savannah-state,-5.06,2018
1675,seattle,-3.09,2018
1676,seton-hall,10.11,2018
1677,siena,-2.99,2018
1678,south-alabama,-2.87,2018
1679,south-carolina-state,-8.78,2018
1680,south-carolina-upstate,-4.35,2018
1681,south-carolina,9.23,2018
1682,south-dakota-state,-0.38,2018
1683,south-dakota,-2.60,2018
1684,south-florida,0.05,2018
1685,southeast-missouri-state,-4.88,2018
1686,southeastern-louisiana,-6.20,2018
1687,southern-california,6.29,2018
1688,southern-illinois-edwardsville,-3.36,2018
1689,southern-illinois,0.65,2018
1690,southern-methodist,3.66,2018
1691,southern-mississippi,1.31,2018
1692,southern-utah,-0.88,2018
1693,southern,-9.57,2018
1694,st-bonaventure,2.61,2018
1695,st-francis-ny,-7.32,2018
1696,st-johns-ny,10.69,2018
1697,stanford,7.14,2018
1698,stephen-f-austin,-6.46,2018
1699,stetson,-6.46,2018
1700,stony-brook,-2.28,2018
1701,syracuse,10.02,2018
1702,temple,7.79,2018
1703,tennessee-martin,-4.96,2018
1704,tennessee-state,-2.98,2018
1705,tennessee-tech,-3.54,2018
1706,tennessee,10.12,2018
1707,texas-am-corpus-christi,-6.56,2018
1708,texas-am,10.62,2018
1709,texas-arlington,-1.43,2018
1710,texas-christian,9.68,2018
1711,texas-el-paso,-0.20,2018
1712,texas-rio-grande-valley,-2.84,2018
1713,texas-san-antonio,-0.93,2018
1714,texas-southern,-5.53,2018
1715,texas-state,-3.44,2018
1716,texas-tech,9.60,2018
1717,texas,10.67,2018
1718,toledo,-1.75,2018
1719,towson,-3.14,2018
1720,troy,-2.11,2018
1721,tulane,2.08,2018
1722,tulsa,2.38,2018
1723,ucla,6.86,2018
1724,utah-state,2.65,2018
1725,utah-valley,-1.76,2018
1726,utah,6.40,2018
1727,valparaiso,0.93,2018
1728,vanderbilt,10.14,2018
1729,vermont,-3.17,2018
1730,villanova,10.24,2018
1731,virginia-commonwealth,2.42,2018
1732,virginia-military-institute,-4.25,2018
1733,virginia-tech,6.72,2018
1734,virginia,9.07,2018
1735,wagner,-6.90,2018
1736,wake-forest,8.79,2018
1737,washington-state,5.22,2018
1738,washington,6.06,2018
1739,weber-state,-2.88,2018
1740,west-virginia,9.36,2018
1741,western-carolina,-1.63,2018
1742,western-illinois,-2.28,2018
1743,western-kentucky,3.65,2018
1744,western-michigan,-1.99,2018
1745,wichita-state,5.46,2018
1746,william-mary,-1.32,2018
1747,winthrop,-5.84,2018
1748,wisconsin,9.50,2018
1749,wofford,-2.45,2018
1750,wright-state,-3.64,2018
1751,wyoming,3.54,2018
1752,xavier,9.45,2018
1753,yale,-2.83,2018
1754,youngstown-state,-2.56,2018
